GEOMETRY,SPECIES,DIAMETER,LATITUDE,LONGITUDE,New Georeferenced Column
POINT (-97.73398904092146 30.25239671647407),Live Oak,20,30.25239672,-97.73398904,POINT (-97.7339890409 30.2523967165)
POINT (-97.77949770772025 30.20704479399738),Ashe Juniper,8,30.20705,-97.77950534,POINT (-97.7795053399 30.2070499964)
POINT (-97.73408544155564 30.252389392695715),Live Oak,31,30.25238939,-97.73408544,POINT (-97.7340854416 30.2523893927)
POINT (-97.73392463841283 30.252384583450418),Live Oak,21,30.25238458,-97.73392464,POINT (-97.7339246384 30.2523845835)
POINT (-97.73385944263053 30.252313660255723),Live Oak,20,30.25231366,-97.73385944,POINT (-97.7338594426 30.2523136603)
POINT (-97.73385592478938 30.252400201971927),Live Oak,16,30.2524002,-97.73385592,POINT (-97.7338559248 30.252400202)
POINT (-97.73377804833093 30.25240326161804),Live Oak,30,30.25240326,-97.73377805,POINT (-97.7337780483 30.2524032616)
POINT (-97.73377522922246 30.252331543123216),Live Oak,23,30.25233154,-97.73377523,POINT (-97.7337752292 30.2523315431)
POINT (-97.73342529861817 30.252477044340022),Pecan,3,30.25247704,-97.7334253,POINT (-97.7334252986 30.2524770443)
POINT (-97.73333468338379 30.252467987518667),Live Oak,29,30.25246799,-97.73333468,POINT (-97.7333346834 30.2524679875)
POINT (-97.73438552281138 30.252242874827274),Live Oak,22,30.25224809,-97.73439315,POINT (-97.734393146 30.2522480877)
POINT (-97.73394697415748 30.252068044833262),Live Oak,37,30.25206804,-97.73394697,POINT (-97.7339469742 30.2520680448)
POINT (-97.73387048777415 30.252107737137095),Live Oak,24,30.25210774,-97.73387049,POINT (-97.7338704878 30.2521077371)
POINT (-97.73382440720526 30.252054730675766),Live Oak,14,30.25205473,-97.73382441,POINT (-97.7338244072 30.2520547307)
POINT (-97.73367426809013 30.252094991103),Live Oak,23,30.2521002,-97.73368189,POINT (-97.7336818911 30.252100204)
POINT (-97.7337606592516 30.251996211521828),Live Oak,23,30.25199621,-97.73376066,POINT (-97.7337606593 30.2519962115)
POINT (-97.73369476450422 30.251995389633013),Live Oak,21,30.2520006,-97.73370239,POINT (-97.7337023875 30.2520006025)
